Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
55,53,620000000,0.7494636662680425,-0.01448793714572271,0,3,1,-0.604528152916388,2,-0.984765202894741
56,2489,2628000000,0.33412639860198257,-0.019718908555527683,1,5,1,-0.604528152916388,2,-0.07111809691209854
71,1788,645000000,-0.28887950289710734,-0.011236252215303402,1,5,1,-0.604528152916388,2,0.7283231208227138
71,3233,410000000,-0.08121086906407739,-0.011660385032314615,1,5,1,-0.604528152916388,2,-0.64214753815125
75,4039,239000000,1.1648009339341023,-0.022546460668935776,0,4,1,-0.604528152916388,3,-2.3552358618687044
75,4039,239000000,1.1648009339341023,-0.022546460668935776,0,4,1,-0.604528152916388,3,-2.3552358618687044
76,3820,1390000000,0.7494636662680425,-0.02183957264058375,1,5,1,-0.604528152916388,2,-0.07111809691209854
2,396,1738000000,0.7494636662680425,-0.02056717418955011,1,6,1,-0.604528152916388,2,-0.07111809691209854
5,224,699000000,-0.4965481367301373,-0.01872926531583485,1,6,1,-0.604528152916388,2,-0.07111809691209854
18,1625,1345000000,0.9571323001010724,-0.019718908555527683,1,5,1,-0.604528152916388,0,-0.07111809691209854
18,3857,239000000,-1.1195540382292273,0.02693570131570586,0,8,0,-0.604528152916388,0,0.3857054560792225
23,1202,469000000,-0.7042167705631672,-0.011236252215303402,0,5,1,-0.604528152916388,2,0.3857054560792225
23,1225,1065000000,1.3724695677671324,-0.021698195034913347,0,5,1,-0.604528152916388,2,-0.64214753815125
26,3390,1050000000,0.7494636662680425,-0.016891356442119587,0,5,1,-0.604528152916388,2,0.4999113443270529
38,2480,9398000000,1.3724695677671324,-0.021881985922284873,1,5,1,-0.604528152916388,2,1.5277643385575255
44,85,635000000,1.3724695677671324,-0.022178878894192722,0,6,1,-0.604528152916388,2,-0.64214753815125
47,621,1259000000,0.5417950324350125,-0.01576033559675635,0,6,1,-0.604528152916388,2,-0.64214753815125
